model,pruned,predicate,data,scale,threads,time
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,0,0.0,nyc-taxi-green-dec-2016,1G,2,7.891653161340703
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,0.425445,nyc-taxi-green-dec-2016,1G,2,4.362967254128307
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,0.425445,nyc-taxi-green-dec-2016,1G,2,3.808450326944391
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,0.850889,nyc-taxi-green-dec-2016,1G,2,5.003751381145169
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,0.850889,nyc-taxi-green-dec-2016,1G,2,4.287019765935838
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,1.276334,nyc-taxi-green-dec-2016,1G,2,4.152833960329493
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,1.276334,nyc-taxi-green-dec-2016,1G,2,3.4685779251158237
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,1.701778,nyc-taxi-green-dec-2016,1G,2,2.209762490199258
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,1.701778,nyc-taxi-green-dec-2016,1G,2,1.8602615386868517
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,2.127223,nyc-taxi-green-dec-2016,1G,2,1.6596461514321466
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,2.127223,nyc-taxi-green-dec-2016,1G,2,1.2504513072781265
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,2.552668,nyc-taxi-green-dec-2016,1G,2,1.080763530296584
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,2.552668,nyc-taxi-green-dec-2016,1G,2,0.7078003309046229
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,2.978112,nyc-taxi-green-dec-2016,1G,2,0.5390237293516597
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,2.978112,nyc-taxi-green-dec-2016,1G,2,0.3704850554155807
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,3.403557,nyc-taxi-green-dec-2016,1G,2,0.5319590400904417
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,3.403557,nyc-taxi-green-dec-2016,1G,2,0.3637223655047516
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,3.829001,nyc-taxi-green-dec-2016,1G,2,0.45442912681028247
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,3.829001,nyc-taxi-green-dec-2016,1G,2,0.28730162512511015
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,1,4.254446,nyc-taxi-green-dec-2016,1G,2,0.3998476687508325
nyc-taxi-green-dec-2016_d10_l858_n1715_20241013143513,2,4.254446,nyc-taxi-green-dec-2016,1G,2,0.23560554115101695
nyc-taxi-green-dec-2016_d10_l856_n1711_20241015174825,0,0.0,nyc-taxi-green-dec-2016,1G,1,13.802134383159379
nyc-taxi-green-dec-2016_d10_l856_n1711_20241015174825,1,0.425445,nyc-taxi-green-dec-2016,1G,1,7.611378236518552
nyc-taxi-green-dec-2016_d10_l856_n1711_20241015174825,2,0.425445,nyc-taxi-green-dec-2016,1G,1,6.343202150582026
nyc-taxi-green-dec-2016_d10_l856_n1711_20241015174825,1,0.850889,nyc-taxi-green-dec-2016,1G,1,8.47691032042106
